MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
200001,West,Residential,2023-01-01 00:00:00,11.6,7.1,60,Active,6.48
200002,South,Residential,2023-01-01 01:00:00,13.16,9.41,10,Active,6.15
200003,East,Residential,2023-01-01 02:00:00,22.49,7.7,0,Active,10.23
200004,East,Residential,2023-01-01 03:00:00,35.33,1.39,10,Active,6.7
200005,West,Residential,2023-01-01 04:00:00,17.45,8.35,10,Active,9.65
200006,South,Industrial,2023-01-01 05:00:00,14.68,1.6,10,Active,10.42
200007,North,Residential,2023-01-01 06:00:00,9.01,9.33,5,Active,8.39
200008,South,Industrial,2023-01-01 07:00:00,14.54,2.68,10,Active,4.83
200009,Central,Residential,2023-01-01 08:00:00,18.75,3.75,30,Active,6.13
200010,Central,Residential,2023-01-01 09:00:00,8.68,4.8,30,Active,6.44
200011,North,Residential,2023-01-01 10:00:00,8.34,2.77,0,Active,9.52
200012,West,Residential,2023-01-01 11:00:00,17.44,11.6,30,Active,7.07
200013,North,Residential,2023-01-01 12:00:00,6.19,11.24,0,Active,6.31
200014,West,Residential,2023-01-01 13:00:00,16.44,8.63,0,Active,6.0
200015,North,Commercial,2023-01-01 14:00:00,6.38,1.65,5,Active,8.58
200016,East,Residential,2023-01-01 15:00:00,8.29,9.46,0,Active,9.69
200017,Central,Residential,2023-01-01 16:00:00,6.94,9.54,0,Active,8.9
200018,East,Industrial,2023-01-01 17:00:00,8.88,1.56,15,Active,7.49
200019,West,Commercial,2023-01-01 18:00:00,6.98,3.09,60,Active,10.4
200020,West,Residential,2023-01-01 19:00:00,19.11,7.85,5,Active,8.38
200021,North,Residential,2023-01-01 20:00:00,19.16,5.47,60,Active,10.03
200022,North,Commercial,2023-01-01 21:00:00,12.21,5.29,0,Active,6.03
200023,North,Residential,2023-01-01 22:00:00,19.39,8.22,0,Active,9.61
200024,East,Residential,2023-01-01 23:00:00,20.47,9.03,0,Active,8.29
200025,North,Residential,2023-01-02 00:00:00,21.97,9.49,0,Active,7.47
200026,Central,Residential,2023-01-02 01:00:00,9.16,7.66,15,Active,7.64
200027,North,Residential,2023-01-02 02:00:00,16.05,9.15,5,Active,8.06
200028,South,Residential,2023-01-02 03:00:00,11.48,11.8,0,Active,9.06
200029,West,Residential,2023-01-02 04:00:00,24.8,10.43,0,Active,5.8
200030,South,Residential,2023-01-02 05:00:00,21.88,2.11,60,Active,10.18
200031,East,Residential,2023-01-02 06:00:00,10.69,8.64,30,Active,7.38
200032,East,Industrial,2023-01-02 07:00:00,17.77,8.25,0,Active,5.79
200033,North,Residential,2023-01-02 08:00:00,14.69,8.83,15,Active,5.64
200034,East,Residential,2023-01-02 09:00:00,9.85,6.55,5,Active,5.17
200035,North,Commercial,2023-01-02 10:00:00,7.55,5.23,10,Active,8.58
200036,South,Residential,2023-01-02 11:00:00,14.8,8.68,0,Active,5.69
200037,North,Residential,2023-01-02 12:00:00,13.14,8.65,0,Active,10.5
200038,North,Residential,2023-01-02 13:00:00,12.45,7.63,0,Active,5.79
